Algorithm,Problem,IndicatorName,ExecutionId,IndicatorValue
SPEA2,WFG7_5,HV,0,0.29783872356806235
SPEA2,WFG7_5,HV,1,0.22056905326727136
SPEA2,WFG7_5,HV,2,0.2145711969786574
SPEA2,WFG7_5,HV,3,0.25064294185590863
SPEA2,WFG7_5,HV,4,0.20785087571835553
SPEA2,WFG8_5,HV,0,0.27305176755492455
SPEA2,WFG8_5,HV,1,0.2920190200296306
SPEA2,WFG8_5,HV,2,0.3041733062120373
SPEA2,WFG8_5,HV,3,0.27843535525431484
SPEA2,WFG8_5,HV,4,0.2894341420117224
SPEA2,WFG9_5,HV,0,0.3918302286711101
SPEA2,WFG9_5,HV,1,0.298605841038846
SPEA2,WFG9_5,HV,2,0.4339796426405261
SPEA2,WFG9_5,HV,3,0.40851154873850926
SPEA2,WFG9_5,HV,4,0.4191396623716464
MOEADDRA,WFG1_2,HV,0,0.2869187400846321
MOEADDRA,WFG1_2,HV,1,0.23674904630070057
MOEADDRA,WFG1_2,HV,2,0.3152474087492205
MOEADDRA,WFG1_2,HV,3,0.24134831876108587
MOEADDRA,WFG1_2,HV,4,0.22676452259969818
MOEADDRA,WFG2_2,HV,0,0.5544798373358755
MOEADDRA,WFG2_2,HV,1,0.5537426574123628
MOEADDRA,WFG2_2,HV,2,0.5457366893548344
MOEADDRA,WFG2_2,HV,3,0.5542624544629227
MOEADDRA,WFG2_2,HV,4,0.5538970838783309
MOEADDRA,WFG3_2,HV,0,0.4398537877353899
MOEADDRA,WFG3_2,HV,1,0.43973040092661436
MOEADDRA,WFG3_2,HV,2,0.4402302821617425
MOEADDRA,WFG3_2,HV,3,0.4401796551647464
MOEADDRA,WFG3_2,HV,4,0.44018697065074625
MOEADDRA,WFG5_2,HV,0,0.19075021874643244
MOEADDRA,WFG5_2,HV,1,0.19313869128949349
MOEADDRA,WFG5_2,HV,2,0.19451638370454885
MOEADDRA,WFG5_2,HV,3,0.19408285193541228
MOEADDRA,WFG5_2,HV,4,0.19450028422563947
MOEADDRA,WFG4_2,HV,0,0.18541611933751687
MOEADDRA,WFG4_2,HV,1,0.18843262389086052
MOEADDRA,WFG4_2,HV,2,0.1889027898183466
MOEADDRA,WFG4_2,HV,3,0.1883711054974002
MOEADDRA,WFG4_2,HV,4,0.1876157437913271
MOEADDRA,WFG6_2,HV,0,0.15265050342417086
MOEADDRA,WFG6_2,HV,1,0.15269824790828004
MOEADDRA,WFG6_2,HV,2,0.18106854698826536
MOEADDRA,WFG6_2,HV,3,0.15274973731707936
MOEADDRA,WFG6_2,HV,4,0.15264114046691782
MOEADDRA,WFG7_2,HV,0,0.2052394213005728
MOEADDRA,WFG7_2,HV,1,0.20513090542673562
MOEADDRA,WFG7_2,HV,2,0.20565110797552585
